,COI_2012,COI_2015,FD_2012,FD_2015,FoI_2012,FoI_2015,PF_2012,PF_2015
Armenia,34,35,73,76,79,76,64,80
Austria,47,53,19,21,29,29,67,68
Belgium,15,23,33,38,43,43,69,77
Bulgaria,56,69,85,84,75,75,92,92
Croatia,70,82,77,77,58,81,94,80
Cyprus,71,68,59,51,22,22,39,71
Czech Republic,33,36,62,62,52,52,39,57
Denmark,6,6,0,0,43,46,0,41
Estonia,42,18,81,69,80,80,58,54
European Commission,10,9,8,12,50,50,28,19
Finland,19,20,10,15,73,80,53,56
France,37,73,50,83,45,41,92,85
Georgia,58,49,86,76,62,64,100,91
Germany,26,54,22,24,42,43,28,58
Greece,22,26,69,66,35,35,83,94
Hungary,28,28,74,75,60,60,42,75
Iceland,14,14,13,14,42,36,69,66
Ireland,26,54,49,48,70,83,36,74
Italy,39,37,42,52,41,60,28,70
Latvia,75,85,73,81,50,50,94,86
Lithuania,57,65,86,86,57,57,100,83
Luxembourg,34,35,22,36,8,5,67,56
Malta,20,14,17,17,66,81,47,24
Netherlands,2,3,13,13,46,46,0,43
Norway,23,25,25,29,53,60,28,39
Poland,28,36,58,57,57,57,83,86
Portugal,21,34,51,51,54,51,61,72
Romania,44,54,58,87,64,64,69,89
Serbia,63,76,94,89,80,80,94,83
Slovakia,64,78,75,85,62,62,50,75
Slovenia,81,82,81,87,80,80,69,77
Spain,29,23,77,42,10,57,44,58
Sweden,28,28,5,5,35,35,25,46
Switzerland,28,30,13,9,59,59,0,13
United Kingdom,59,22,49,38,76,66,42,76
