Country,Year,Code,CodeYear,aca_pres,aca_year,aca_yrsince,foia_pres,foia_year,foia_yrssince
Andorra,1996,ADO,ADO1996,0,0,,0,0,
Andorra,1997,ADO,ADO1997,0,0,,0,0,
Andorra,1998,ADO,ADO1998,0,0,,0,0,
Andorra,1999,ADO,ADO1999,0,0,,0,0,
Andorra,2000,ADO,ADO2000,0,0,,0,0,
Andorra,2001,ADO,ADO2001,0,0,,0,0,
Andorra,2002,ADO,ADO2002,0,0,,0,0,
Andorra,2003,ADO,ADO2003,0,0,,0,0,
Andorra,2004,ADO,ADO2004,0,0,,0,0,
Andorra,2005,ADO,ADO2005,0,0,,0,0,
Andorra,2006,ADO,ADO2006,0,0,,0,0,
Andorra,2007,ADO,ADO2007,0,0,,0,0,
Andorra,2008,ADO,ADO2008,0,0,,0,0,
Andorra,2009,ADO,ADO2009,0,0,,0,0,
Angola,1996,AGO,AGO1996,0,0,,0,2002,-6
Angola,1997,AGO,AGO1997,0,0,,0,2002,-5
Angola,1998,AGO,AGO1998,0,0,,0,2002,-4
Angola,1999,AGO,AGO1999,0,0,,0,2002,-3
Angola,2000,AGO,AGO2000,0,0,,0,2002,-2
Angola,2001,AGO,AGO2001,0,0,,0,2002,-1
Angola,2002,AGO,AGO2002,0,0,,1,2002,0
Angola,2003,AGO,AGO2003,0,0,,1,2002,1
Angola,2004,AGO,AGO2004,0,0,,1,2002,2
Angola,2005,AGO,AGO2005,0,0,,1,2002,3
Angola,2006,AGO,AGO2006,0,0,,1,2002,4
Angola,2007,AGO,AGO2007,0,0,,1,2002,5
Angola,2008,AGO,AGO2008,0,0,,1,2002,6
Angola,2009,AGO,AGO2009,0,0,,1,2002,7
Angola,2010,AGO,AGO2010,0,0,,1,2002,8
Albania,1996,ALB,ALB1996,0,1999,-3,0,1999,-3
Albania,1997,ALB,ALB1997,0,1999,-2,0,1999,-2
Albania,1998,ALB,ALB1998,0,1999,-1,0,1999,-1
Albania,1999,ALB,ALB1999,1,1999,0,1,1999,0
Albania,2000,ALB,ALB2000,1,1999,1,1,1999,1
Albania,2001,ALB,ALB2001,1,1999,2,1,1999,2
Albania,2002,ALB,ALB2002,1,1999,3,1,1999,3
Albania,2003,ALB,ALB2003,1,1999,4,1,1999,4
Albania,2004,ALB,ALB2004,1,1999,5,1,1999,5
Albania,2005,ALB,ALB2005,1,1999,6,1,1999,6
Albania,2006,ALB,ALB2006,1,1999,7,1,1999,7
Albania,2007,ALB,ALB2007,1,1999,8,1,1999,8
Albania,2008,ALB,ALB2008,1,1999,9,1,1999,9
Albania,2009,ALB,ALB2009,1,1999,10,1,1999,10
Albania,2010,ALB,ALB2010,1,1999,11,1,1999,11
United Arab Emirates,1996,ARE,ARE1996,0,0,,0,0,
United Arab Emirates,1997,ARE,ARE1997,0,0,,0,0,
United Arab Emirates,1998,ARE,ARE1998,0,0,,0,0,
United Arab Emirates,1999,ARE,ARE1999,0,0,,0,0,
United Arab Emirates,2000,ARE,ARE2000,0,0,,0,0,
United Arab Emirates,2001,ARE,ARE2001,0,0,,0,0,
United Arab Emirates,2002,ARE,ARE2002,0,0,,0,0,
United Arab Emirates,2003,ARE,ARE2003,0,0,,0,0,
United Arab Emirates,2004,ARE,ARE2004,0,0,,0,0,
United Arab Emirates,2005,ARE,ARE2005,0,0,,0,0,
United Arab Emirates,2006,ARE,ARE2006,0,0,,0,0,
United Arab Emirates,2007,ARE,ARE2007,0,0,,0,0,
United Arab Emirates,2008,ARE,ARE2008,0,0,,0,0,
United Arab Emirates,2009,ARE,ARE2009,0,0,,0,0,
United Arab Emirates,2010,ARE,ARE2010,0,0,,0,0,
