,X,Country,Year,Code,CodeYear,aca_pres,aca_year,aca_yrsince,foia_pres,foia_year,foia_yrssince,foia_yearcat
1,29,Angola,2010,AGO,AGO2010,0,0,0,1,2002,8,2
2,44,Albania,2010,ALB,ALB2010,1,1999,11,1,1999,11,3
3,59,United Arab Emirates,2010,ARE,ARE2010,0,0,0,0,0,0,NA
4,74,Argentina,2010,ARG,ARG2010,1,1999,11,0,0,0,NA
5,89,Armenia,2010,ARM,ARM2010,1,2004,6,1,2004,6,2
6,104,Antigua and Barbuda,2010,ATG,ATG2010,0,0,0,1,2004,6,2
7,119,Australia,2010,AUS,AUS2010,1,1988,22,1,1982,28,4
8,134,Austria,2010,AUT,AUT2010,1,2010,0,1,2010,0,NA
9,149,Azerbaijan,2010,AZE,AZE2010,1,2005,5,1,2005,5,1
10,164,Burundi,2010,BDI,BDI2010,1,2002,8,0,0,0,NA
11,179,Belgium,2010,BEL,BEL2010,1,2001,9,1,0,0,NA
12,194,Benin,2010,BEN,BEN2010,1,2004,6,0,0,0,NA
13,209,Burkina Faso,2010,BFA,BFA2010,1,2007,3,0,0,0,NA
14,224,Bangladesh,2010,BGD,BGD2010,1,2004,6,1,0,0,NA
15,239,Bulgaria,2010,BGR,BGR2010,1,2008,2,1,2000,10,2
16,254,Bahrain,2010,BHR,BHR2010,0,0,0,0,0,0,NA
17,269,Bahamas,2010,BHS,BHS2010,0,0,0,0,0,0,NA
18,284,Bosnia and Herzegovina,2010,BIH,BIH2010,0,0,0,1,2002,8,2
19,299,Belarus,2010,BLR,BLR2010,1,0,0,0,0,0,NA
20,314,Belize,2010,BLZ,BLZ2010,0,0,0,1,1994,16,3
21,329,Bolivia,2010,BOL,BOL2010,1,2009,1,0,0,0,NA
22,344,Brazil,2010,BRA,BRA2010,1,2003,7,0,0,0,NA
23,359,Barbados,2010,BRB,BRB2010,0,0,0,0,0,0,NA
24,374,Brunei Darussalam,2010,BRN,BRN2010,1,1982,28,0,0,0,NA
25,389,Bhutan,2010,BTN,BTN2010,1,2006,4,0,0,0,NA
26,404,Botswana,2010,BWA,BWA2010,1,1994,16,0,0,0,NA
27,419,Central African Republic,2010,CAF,CAF2010,0,0,0,0,0,0,NA
28,434,Canada,2010,CAN,CAN2010,0,0,0,1,1983,27,4
29,449,Switzerland,2010,CHE,CHE2010,0,0,0,1,2006,4,1
30,464,Chile,2010,CHL,CHL2010,1,1993,17,1,2009,1,1
31,479,China,2010,CHN,CHN2010,0,0,0,1,2008,2,1
32,494,Cote d Ivoire,2010,CIV,CIV2010,0,0,0,0,0,0,NA
33,509,Cameroon,2010,CMR,CMR2010,1,2006,4,0,0,0,NA
34,524,Congo,2010,COG,COG2010,0,0,0,0,0,0,NA
35,539,Colombia,2010,COL,COL2010,0,0,0,1,1985,25,4
36,554,Comoros,2010,COM,COM2010,0,0,0,0,0,0,NA
37,569,Cape Verde,2010,CPV,CPV2010,0,0,0,0,0,0,NA
38,584,Costa Rica,2010,CRI,CRI2010,1,2002,8,0,0,0,NA
39,599,Cuba,2010,CUB,CUB2010,0,0,0,0,0,0,NA
40,614,Cyprus,2010,CYP,CYP2010,0,0,0,0,0,0,NA
41,629,Czech Republic,2010,CZE,CZE2010,0,0,0,1,2000,10,2
42,642,Germany,2010,DEU,DEU2010,0,0,0,1,2006,4,1
43,657,Djibouti,2010,DJI,DJI2010,0,0,0,0,0,0,NA
44,672,Dominica,2010,DMA,DMA2010,0,0,0,0,0,0,NA
45,687,Denmark,2010,DNK,DNK2010,0,0,0,1,0,0,NA
46,702,Dominican Republic,2010,DOM,DOM2010,1,2001,9,1,2004,6,2
47,717,Algeria,2010,DZA,DZA2010,0,0,0,0,0,0,NA
48,732,Ecuador,2010,ECU,ECU2010,1,1997,13,1,2004,6,2
49,747,Egypt,2010,EGY,EGY2010,1,1964,46,0,0,0,NA
50,762,Eritrea,2010,ERI,ERI2010,0,0,0,0,0,0,NA
51,777,Spain,2010,ESP,ESP2010,1,1995,15,0,2014,-4,NA
52,792,Estonia,2010,EST,EST2010,1,1999,11,1,2001,9,2
53,806,Ethiopia,2010,ETH,ETH2010,1,2001,9,1,2008,2,1
54,821,Finland,2010,FIN,FIN2010,0,0,0,1,1951,59,5
55,836,Fiji,2010,FJI,FJI2010,1,2007,3,0,0,0,NA
56,851,France,2010,FRA,FRA2010,1,1993,17,0,1978,32,5
57,866,Micronesia,2010,FSM,FSM2010,0,0,0,0,0,0,NA
58,881,Gabon,2010,GAB,GAB2010,0,0,0,0,0,0,NA
59,896,United Kingdom,2010,GBR,GBR2010,1,1987,23,1,2005,5,1
60,911,Georgia,2010,GEO,GEO2010,0,0,0,1,1999,11,3
61,926,Ghana,2010,GHA,GHA2010,1,1993,17,0,0,0,NA
